6.20099074679702E+17,negative,"My parents are going to the Zac Brown Band concert tomorrow night and I'm so jealous.",
6.20170215507292E+17,negative,"Robbed by George Osborne...while the royals play decoy | Kevin McKenna http://t.co/aDQnPJxNQi",
6.202792951692E+17,negative,"I remember Chad calling Boko Haram ""school boys"" Vowing to end them in two weeks.. Now he knows what's up  https://t.co/hxSaqlcgoe",
6.20342289995559E+17,negative,"Just seen hat somebody tried to sell a baby today -- George Osborne will be charging VAT on them next - at least on the 3rd one",
6.20412649214484E+17,negative,"It's Sunday, Miss USA is on and all y'all want to tweet about are dicks.",
6.20426963472134E+17,negative,"What I'm getting from Miss USA is that you can not answer a question at all and still get 3rd",
6.2044325945899E+17,negative,"Ugh, it's gonna be so embarrassing to have to go to work tomorrow, having not been being crowned Miss USA tonight.",
6.20548396529619E+17,negative,"Talk about post holiday blues.15 seconds of George Osborne's voice undoes all the good of a week in the sun. Personification of a wet Monday",
6.20606254025675E+17,negative,"Go Set a Watchman is out tomorrow. This means we can expect to see speed readers on the news.    ""I read it in 45 minutes"" ""Piss off. Now!!""",
6.20647680969191E+17,negative,"George Osborne will on Tuesday reject calls for the UK to take part in latest Greek bailout: FT",
6.20697185835991E+17,negative,"Got caught up on sat&amp;sun's paper. Pretty upset that the Lexington Herald-Leader put a Go Set a Watchman spoiler on the front page.",
6.20758950850494E+17,negative,"Then you add in the guilt factor. Did Harper Lee really want Watchman published? If her 1st draft has been hijacked I'd feel bad reading it.",
6.21041912666018E+17,negative,"Taylor Swift's song ""Bad Blood"" may be the most annoying song that's currently playing on the radio #TooRepetitive",
6.21125399494312E+17,negative,"Still can't believe Ryan Braun and Jew Unit were able to beat the 1st test on technicality that his piss was mishandled!",
6.21576090394431E+17,negative,"It's kinda awful when you can relate to that ""Bad Blood"" song. Bc it's my life Monday thru Thursday. I did NOTHING! And if I did tell me!",
6.21788579208036E+17,negative,"Tuesday Attack by Boko Haram militants on Gamgara village, near the town of Bosso, Niger left a dozen people dead, local sources report",
6.21872438402351E+17,negative,"@bieberscinema @SpikeLSB Who's Deion? That may be worse than the Paul McCartney thing",
6.21964911405629E+17,negative,"Boko Haram are so evil. Even on this sacred day for all muslims, they are carrying out bombings. May the hottest part in hell be for them",
6.22055978184372E+17,negative,"May God touch the hearts of the Boko Haram insurgents to stop the bloodletting - IBB http://t.co/Spq04FWthv",
6.22338188544221E+17,negative,"If GMB goes after Boko Haram with the same passion he went after Dasuki,the 50+ victims of the Yobe bomb blast on Friday will still be alive",
6.2265726562825E+17,negative,"Like Frenchies, the only way George Osborne and May can beat @BoriusJohnson is by cheating &amp; backstabbing.  #samething @mayoroflondon",
6.22795886507225E+17,negative,"Paul Dunne with a birdie putt on the 12th hole and just misses it. Very unlucky. Stays in a share of the lead at -11 with Spieth #TheOpen",
6.22818077445632E+17,negative,"It's a shame it's not a historic march up the 18th on the final Sunday for Paul Dunne. Hopefully he be in as strong a position tomorrow. ...",
6.22824372600902E+17,negative,"@notthefakeSVP  who was the dork asking Paul Dunne what will be your thought in the first tee tomorrow. What a stupid question that was",
