['6.19987808317407E+17', 'positive', 'A portion of book sales from our Harper Lee/Go Set a Watchman release party on Mon. 7/13 will support @CAP_Tulsa and the great work they do.']
['6.19998879447163E+17', 'positive', "Watching Miss USA tomorrow JUST to see @TravisGarland perform, I'm obsessed with his voice"]
['6.20027768131203E+17', 'positive', 'Tomorrow 51beautiful women from all over the USA come together to compete for one crown and one title of Miss USA... http://t.co/b8lFE7naZS']
['6.20056364149309E+17', 'positive', "(1/2) Judge me if you want but Ima make sure I don't miss the Miss USA pageant tomorrow . There's nothing like watching beautiful women..."]
['6.20063502682599E+17', 'positive', "No. It's okay. You can go attend Miss USA! Trust me, you should DEFINITELY attend Miss USA. https://t.co/CWuf7ZIJII"]
['6.20080951708652E+17', 'positive', 'Be sure to watch Miss USA tomorrow night at 8pm ET on the Reelz Channel! I can not wait to see which beautiful... http://t.co/1I6LMrEFiJ']
['6.20156193026253E+17', 'positive', 'This is soooo good! Sunday Jam "@LucyRoseMusic covers Taylor Swift\'s Bad Blood in the Live Lounge" https://t.co/aNRI5T5Wdq']
['6.20173983179231E+17', 'positive', "At last, evidence that George Osborne's drive to make work more attractive that benefits is working. #makeworkpay https://t.co/M8Nrr4DSX3"]
['6.20267832614519E+17', 'positive', "@tifftiffannie haha 8th - 11th grade was strong with the Kpop. We're always in sync lol"]
['6.20325254259429E+17', 'positive', "Happy Sunday! Back at the River Center for Miss USA!  It's going to be an interesting night. Who is watching the big show?"]
['6.20344813552951E+17', 'positive', 'Officially Miss Denton USA and officially so excited for Miss USA tonight and for September to come already! http://t.co/0YKeHN4Bz3']
['6.20377309825135E+17', 'positive', "This is a Harper worth looking forward to. Go Set a Watchman's 1st chapter stuns fans with bombshell plot twist http://t.co/KCBLbn3EXj"]
['6.20383113571619E+17', 'positive', 'Time for Miss USA!!! Go @RealMissTNUSA !!!! Titans fans she cheers for your team on the sidelines every Sunday... time to cheer for her now!']
['6.20414827547066E+17', 'positive', "Can't decide if I'm more pumped about the crowning of a new Miss USA tonight or the All-Star game on Tuesday"]
['6.20422456474386E+17', 'positive', '@mikemckinnon @CCJsask agreed, especially Friday night! I love Zac Brown Band and it will be the first time I see them live (:']
['6.20428030188589E+17', 'positive', 'Be on the look out for my Miss USA 2015 recap tomorrow! Hear about my favorite gowns, swimsuit bods, and... http://t.co/rfX7QmvNEk']
['6.20435978201633E+17', 'positive', 'we want the 9th crown for USA and especially enjoys every moment you lived as Miss USA.']
['6.20437207581495E+17', 'positive', 'Olivia Jordan - only the 2nd woman in history to win BOTH titles - Miss World -United States and Miss USA.  She... http://t.co/Ddlb60TsH9']
['6.20449927492059E+17', 'positive', "Congratulations to Miss USA 1st runner up @RealMissTXUSA. You've made #McAllen and the #RGV very proud! #MissUSA"]
['6.20463438083551E+17', 'positive', 'Congrats Ylianna Guerra for getting 1st runner up in the Miss USA Pageant!! http://t.co/RuYKAJg7iP']
['6.20513274828861E+17', 'positive', "Go Set a Watchman is out tomorrow! AAAAAAHHHHH! Even more excited about this than Urban Decay's Naked Smokey."]
['6.20519869927281E+17', 'positive', 'Only ONE day to go before the release of Go Set a Watchman! See you all at 8 am tomorrow... :)']
['6.20552365096206E+17', 'positive', 'Miss USA on Sunday, wearing a hot pink strapless dress as she deftly fielded the interview BEST THINGS IN LIFECOME FREE TO US CUZ WERE OOOH']
['6.20556114665566E+17', 'positive', "Go Set a Watchman, the only other novel by Harper Lee set to be a hit as it's released in stores tomorrow! #goodreads http://t.co/9gyyCsLh5N"]
['6.20577402293482E+17', 'positive', 'Best HR derby,Josh Hamilton 28 monster blasts DEEP into the Bronx night,a record 1st round.Then like his career, faded,just three in finals.']
['6.20598088642785E+17', 'positive', 'TOMORROW is the big day!!!!!  Do you have your copy reserved?  Go Set a Watchman, by Harper Lee.   On sale here... http://t.co/bd9RFkoUSC']
['6.20622988539494E+17', 'positive', 'All kinds of fun things happening for the launch of Go Set a Watchman tomorrow - come along for American-style sweets, treats + prizes #GSOW']
['6.20643540691874E+17', 'positive', "Harper Lee's Go Set a Watchman comes out tomorrow, I just want to call into work so I can read it all day."]
['6.20645999242048E+17', 'positive', 'Hey! Our August book, Go Set a Watchman by Harper Lee is out tomorrow for all you eager readers!']
['6.20650520093553E+17', 'positive', 'The new Iron Maiden album, Mobility Scooter to the Hills, is out September 4th. Bless these old codgers.']
['6.20668597346652E+17', 'positive', 'Haley Laundrie represented Lake Mills in the Miss USA pageant Sunday. She is the first woman from the county to do so http://t.co/Qs9CUOweqv']
['6.2067285181361E+17', 'positive', 'Go Set a Watchman - the highly anticipated second novel by Harper Lee is in stock and available for pre order today. - Pick up tomorrow.']
['6.20678986411168E+17', 'positive', '@Five_Guys ... AND the 23rd is National Hot Dog Day ;-)']
['6.20685572760314E+17', 'positive', 'We thought it would be a great idea to read the brand new Go Set a Watchman by Harper Lee starting August 1st! http://t.co/PR2OMq3bGO']
['6.2070214325574E+17', 'positive', "I get Harper Lee's new book Go Set a Watchman tomorrow   I haven't been this excited about a new book in a long long time"]
['6.20704161928217E+17', 'positive', "@The_MaleBoss: Boko Haram will soon know the 'strength of our collective will' In Sha Allah. May God guide the new Service Chiefs!. Amin"]
['6.20718775877419E+17', 'positive', 'Whoa! National Ice Cream Day is in six days?! You may want to pay special attention here and on our Facebook &amp; Instagram accounts on Sunday.']
['6.20733114361487E+17', 'positive', '#bbcdp Great to see EU Solidarity from George Osborne whose 1st Worry was about the effect of GREEK Crisis on UK Economy, not Poor GREEK Ppl']
['6.2073681210173E+17', 'positive', 'Go Set a Watchman (the sequel to "To Kill a Mockingbird") hits the bookshelves tomorrow!!!!! #hype #turnt']
['6.20738094237676E+17', 'positive', 'Who else is excited about Go Set a Watchman by Harper Lee, which hits stores this Tuesday? Stop by Barnes &amp; Noble... http://t.co/7A3mG21REx']
['6.20751371294409E+17', 'positive', 'One day Dean Ambrose will be WWE CHAMPION and mark April 3 2016 on your calendar #ambroseforWWECHAMPION http://t.co/JQIWKJoCiE']
['6.20757000989839E+17', 'positive', 'It\'s almost time! Harper Lee\'s new book "Go Set a Watchman" will be on sale at 7 am, Tuesday the 14th! That is... http://t.co/mrh0PtUuoV']
['6.20760083450872E+17', 'positive', 'Getting my copy of Go Set a Watchman tomorrow morning . . . should be interesting given the comments of the early reviewers.']
['6.20765747095183E+17', 'positive', "Let's celebrate the days leading up to National Ice Cream Day on July 19 by eating ice cream. Then let's have a... http://t.co/4HQG3V93fD"]
['6.20805945476678E+17', 'positive', 'What I would give to meek K-Rod and Ryan Braun tomorrow while at the All-Star game representing the @Brewers thanks to @esurance']
['6.20818226360947E+17', 'positive', "Harper Lee's Go Set a Watchman on sale tomorrow. hopefully there are still copies in the nearest bookstore!"]
['6.20922198249882E+17', 'positive', "Did someone say Christmas in July?! Go Set a Watchman comes out TODAY! Oh, and I'm busy for the rest of today. No reason. #booknerd"]
['6.20998361743757E+17', 'positive', "Did you know the 23rd is National Hot Dog Day? We're giving away free hot dogs to all our fans at the game! http://t.co/SvywShFsif"]
['6.21034773134344E+17', 'positive', "Did you hear about Harper Lee's 3rd novel? ;) http://t.co/5PrB1SgzXU Don't forget to put Go Set a Watchman on hold at your library!"]
