['6.19971047195046E+17', 'negative', 'If these runway renovations at the airport prevent me from seeing Taylor Swift on Monday, Bad Blood will have a new meaning.', '']
['6.20099074679702E+17', 'negative', "My parents are going to the Zac Brown Band concert tomorrow night and I'm so jealous.", '']
['6.20152459676283E+17', 'negative', "The hidden Budget tax rises George Osborne didn't want you to know about http://t.co/aHTkG4iGUf", '']
['6.20201635013337E+17', 'negative', "Boko Haram on Saturday claimed responsibility for attacks in Chad's capital N'Djamena and the Nigerian city of... http://t.co/gwyUpVUYvH", '']
['6.202792951692E+17', 'negative', 'I remember Chad calling Boko Haram "school boys" Vowing to end them in two weeks.. Now he knows what\'s up  https://t.co/hxSaqlcgoe', '']
['6.20331316597391E+17', 'negative', '@BBCNews You know Go Set a Watchman is not being released until tomorrow? Really did not appreciate the spoiler on your website.', '']
['6.20402199240151E+17', 'negative', "The Asian girls in the swim suit section for Miss USA are the ones with the worse bodies, c'mon now &gt;_&gt; #itsmissusa #cantyouworkoutmore", '']
['6.20412649214484E+17', 'negative', "It's Sunday, Miss USA is on and all y'all want to tweet about are dicks.", '']
['6.20423609870365E+17', 'negative', '@KySportsRadio Miss USA pageant questions were epically bad. I think you have your topic for the show tomorrow', '']
['6.20427207274422E+17', 'negative', 'totally intended to boycott Miss USA show, but how in the world did Maryland come in 5th?! Three of those other girls gave terrible answers.', '']
['6.2044325945899E+17', 'negative', "Ugh, it's gonna be so embarrassing to have to go to work tomorrow, having not been being crowned Miss USA tonight.", '']
['6.20511335512609E+17', 'negative', 'the Miss USA 1st runner up is a Latina woman who volunteers on the border of Mexico &amp; Texas because fuck Donald Trump all over his dumb self', '']
['6.20592821767143E+17', 'negative', 'Just gonna say it: The lyrics in "Bad Blood" sound like they were written by a 7th grader. "Done" doesn\'t have two syllables, Taylor.', '']
['6.20606254025675E+17', 'negative', 'Go Set a Watchman is out tomorrow. This means we can expect to see speed readers on the news.    "I read it in 45 minutes" "Piss off. Now!!"', '']
['6.2064619682714E+17', 'negative', "So Watchman is an earlier draft of Mockingbird?? People have been had in getting excited for this. C'mon public, you're better than this.", '']
['6.20667314623676E+17', 'negative', '@SkyNewsTonight George Osborne must be p***ing himself. Talk about unintended consequences. PMQs will be interesting on Wednesday', '']
['6.20697185835991E+17', 'negative', "Got caught up on sat&amp;sun's paper. Pretty upset that the Lexington Herald-Leader put a Go Set a Watchman spoiler on the front page.", '']
['6.20705001170694E+17', 'negative', 'The Borno state police commissioner, Aderemi Opadokun, on Monday confirmed fresh attacks by the Boko Haram sect... http://t.co/3svj6EGFlP', '']
['6.20768381722075E+17', 'negative', 'To all the people who will buy Go Set a Watchman tomorrow:  go buy/read To Kill a Mockingbird instead', '']
['6.21041912666018E+17', 'negative', 'Taylor Swift\'s song "Bad Blood" may be the most annoying song that\'s currently playing on the radio #TooRepetitive', '']
['6.21065279607583E+17', 'negative', '@eatyourkimchi Was there a specific reason you guys stopped doing Kpop Music Monday?  Feel out of touch with KPOP since you stopped. :(', '']
['6.21233092997579E+17', 'negative', 'Road accident is the 2nd highest source of violent death after Boko Haram in Nigeria.Yet,no data to warn citizens @BudgITng #DATARevolution', '']
['6.21576090394431E+17', 'negative', 'It\'s kinda awful when you can relate to that "Bad Blood" song. Bc it\'s my life Monday thru Thursday. I did NOTHING! And if I did tell me!', '']
['6.21758839352902E+17', 'negative', "Kim Kardashian on the cover of Rolling Stone? It's the death of rock'n'roll ... - The Guardian http://t.co/bDjHSXCayn", '']
['6.21837558058648E+17', 'negative', 'Floyd Mayweather should  buy 1st row for all who beat the hell out of Berto, Berto should buy 1st row for the judge who sent Floyd to jail.', '']
['6.21872438402351E+17', 'negative', "@bieberscinema @SpikeLSB Who's Deion? That may be worse than the Paul McCartney thing", '']
['6.21952305525494E+17', 'negative', "I'm taking my death tomorrow, Kpop fans make me mad", '']
['6.21978586711523E+17', 'negative', 'And some fools still believe Boko Haram are Muslims. They kill more Muslims than Christians. How does that make sense? May Allah help us all', '']
['6.22055978184372E+17', 'negative', 'May God touch the hearts of the Boko Haram insurgents to stop the bloodletting - IBB http://t.co/Spq04FWthv', '']
['6.22222801055781E+17', 'negative', 'You know what sucks about Battleground this Sunday? Dean Ambrose is not booked!!', '']
['6.22367539209896E+17', 'negative', 'This nigga finnah get caught off guard, do the illest Randy Orton drop kick from the 7th step son  https://t.co/SYQM9YNQU4', '']
['6.2265726562825E+17', 'negative', 'Like Frenchies, the only way George Osborne and May can beat @BoriusJohnson is by cheating &amp; backstabbing.  #samething @mayoroflondon', '']
['6.22787451283767E+17', 'negative', "Moral of the story - don't upset the city!! City watchdog chief quits after George Osborne vote of no confidence  http://t.co/RyOt2Z9186", '']
['6.22813264158847E+17', 'negative', "Mark James on bbc says as Paul Dunne is on the 17th tee let's not have anymore British out of bounds. Dunne is irish not British. #typical", '']
